Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190717,Greybeard,1,IV,LS,5,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,5,Young,40,25,,,,,,,,
20190717,Greybeard,1,IV,LS,6,Old,0,2,,,,,,,,
20190717,Greybeard,1,IV,LS,6,Young,18,15,,,,,,,,
20190717,Greybeard,1,IV,LS,7,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,7,Young,26,21,,,,,,,,
20190717,Greybeard,1,IV,LS,7.5,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,7.5,Young,29,22,,,,,,,,
20190718,Greybeard,2,I,LS,0,Old,2,3,,,,,,,,
20190718,Greybeard,2,I,LS,0,Young,6,11,,,,,,,,
20190718,Greybeard,2,I,LS,1,Old,13,4,,,,,,,,
20190718,Greybeard,2,I,LS,1,Young,7,17,,,,,,,,
20190718,Greybeard,2,I,LS,2,Old,9,1,,,,,,,,
20190718,Greybeard,2,I,LS,2,Young,4,3,,,,,,,,
20190718,Greybeard,2,I,LS,3,Old,9,2,,,,,,,,
20190718,Greybeard,2,I,LS,3,Young,9,2,,,,,,,,
20190718,Greybeard,2,I,LS,4,Old,5,0,,,,,,,,
20190718,Greybeard,2,I,LS,4,Young,14,12,,,,,,,,
20190718,Greybeard,2,I,LS,5,Old,2,5,,,,,,,,
20190718,Greybeard,2,I,LS,5,Young,0,12,,,,,,,,
20190718,Greybeard,2,I,LS,6,Old,4,1,,,,,,,,
20190718,Greybeard,2,I,LS,6,Young,5,11,,,,,,,,
20190718,Greybeard,2,I,LS,7,Old,5,0,,,,,,,,
20190718,Greybeard,2,I,LS,7,Young,36,33,,,,,,,,
20190718,Greybeard,2,I,LS,7.5,Old,3,1,,,,,,,,
20190718,Greybeard,2,I,LS,7.5,Young,7,9,,,,,,,,
20190719,Nina,2,III,HH,0,Old,19,10,,,,,,,,
20190719,Nina,2,III,HH,0,Young,0,0,,,,,,,,
20190719,Nina,2,III,HH,1,Old,66,70,,,,,,,,
20190719,Nina,2,III,HH,1,Young,0,0,,,,,,,,
20190719,Nina,2,III,HH,2,Old,52,60,,,,,,,,
20190719,Nina,2,III,HH,2,Young,12,8,,,,,,,,
20190719,Nina,2,III,HH,3,Old,71,37,,,,,,,,
20190719,Nina,2,III,HH,3,Young,8,7,,,,,,,,
20190719,Nina,2,III,HH,4,Old,47,44,,,,,,,,
20190719,Nina,2,III,HH,4,Young,12,1,,,,,,,,
20190719,Nina,2,III,HH,5,Old,76,55,,,,,,,,
20190719,Nina,2,III,HH,5,Young,4,1,,,,,,,,
20190719,Nina,2,III,HH,6,Old,49,39,,,,,,,,
20190719,Nina,2,III,HH,6,Young,11,0,,,,,,,,
20190719,Nina,2,III,HH,7,Old,41,19,,,,,,,,
20190719,Nina,2,III,HH,7,Young,21,7,,,,,,,,
20190719,Nina,2,III,HH,7.5,Old,28,7,,,,,,,,
20190719,Nina,2,III,HH,7.5,Young,8,3,,,,,,,,
20190720,Nina,1,II,HH,0,Old,18,0,,,,,,,,
20190720,Nina,1,II,HH,0,Young,6,0,,,,,,,,
20190720,Nina,1,II,HH,1,Old,50,0,,,,,,,,
20190720,Nina,1,II,HH,1,Young,8,0,,,,,,,,
20190720,Nina,1,II,HH,2,Old,36,0,,,,,,,,
20190720,Nina,1,II,HH,2,Young,11,2,,,,,,,,
20190720,Nina,1,II,HH,3,Old,69,0,,,,,,,,
20190720,Nina,1,II,HH,3,Young,36,0,,,,,,,,
20190720,Nina,1,II,HH,4,Old,21,4,,,,,,,,
20190720,Nina,1,II,HH,4,Young,4,8,,,,,,,,
20190720,Nina,1,II,HH,5,Old,41,3,,,,,,,,
20190720,Nina,1,II,HH,5,Young,14,10,,,,,,,,
20190720,Nina,1,II,HH,6,Old,58,18,,,,,,,,
20190720,Nina,1,II,HH,6,Young,23,21,,,,,,,,
20190720,Nina,1,II,HH,7,Old,34,37,,,,,,,,
20190720,Nina,1,II,HH,7,Young,22,21,,,,,,,,
20190720,Nina,1,II,HH,7.5,Old,22,12,,,,,,,,
20190720,Nina,1,II,HH,7.5,Young,18,3,,,,,,,,
20190721,Miriam,2,I,LS,0,Old,27,16,,,,,,,,
20190721,Miriam,2,I,LS,0,Young,8,2,,,,,,,,
20190721,Miriam,2,I,LS,1,Old,66,27,,,,,,,,
20190721,Miriam,2,I,LS,1,Young,9,6,,,,,,,,
20190721,Miriam,2,I,LS,2,Old,49,19,,,,,,,,
20190721,Miriam,2,I,LS,2,Young,14,22,,,,,,,,
20190721,Miriam,2,I,LS,3,Old,34,18,,,,,,,,
20190721,Miriam,2,I,LS,3,Young,9,12,,,,,,,,
20190721,Miriam,2,I,LS,4,Old,58,13,,,,,,,,
20190721,Miriam,2,I,LS,4,Young,5,7,,,,,,,,
20190721,Miriam,2,I,LS,5,Old,55,32,,,,,,,,
20190721,Miriam,2,I,LS,5,Young,15,15,,,,,,,,
20190721,Miriam,2,I,LS,6,Old,39,26,,,,,,,,
20190721,Miriam,2,I,LS,6,Young,21,20,,,,,,,,
20190721,Miriam,2,I,LS,7,Old,28,29,,,,,,,,
20190721,Miriam,2,I,LS,7,Young,16,5,,,,,,,,
20190721,Miriam,2,I,LS,7.5,Old,11,21,,,,,,,,
20190721,Miriam,2,I,LS,7.5,Young,16,17,,,,,,,,
20190722,Miriam,1,IV,LS,0,Old,17,21,,,,,,,,
20190722,Miriam,1,IV,LS,0,Young,10,7,,,,,,,,
20190722,Miriam,1,IV,LS,1,Old,30,46,,,,,,,,
20190722,Miriam,1,IV,LS,1,Young,4,3,,,,,,,,
20190722,Miriam,1,IV,LS,2,Old,36,29,,,,,,,,
20190722,Miriam,1,IV,LS,2,Young,12,12,,,,,,,,
20190722,Miriam,1,IV,LS,3,Old,37,30,,, ,,,,,
20190722,Miriam,1,IV,LS,3,Young,23,12,,,,,,,,
20190722,Miriam,1,IV,LS,4,Old,26,23,,,,,,,,
20190722,Miriam,1,IV,LS,4,Young,30,16,,,,,,,,
20190722,Miriam,1,IV,LS,5,Old,27,20,,,,,,,,
20190722,Miriam,1,IV,LS,5,Young,15,4,,,,,,,,
20190722,Miriam,1,IV,LS,6,Old,36,19,,,,,,,,
20190722,Miriam,1,IV,LS,6,Young,9,2,,,,,,,,
20190722,Miriam,1,IV,LS,7,Old,32,37,,,,,,,,
20190722,Miriam,1,IV,LS,7,Young,24,23,,,,,,,,
20190722,Miriam,1,IV,LS,7.5,Old,15,14,,,,,,,,
20190722,Miriam,1,IV,LS,7.5,Young,10,6,,,,,,,,
20190803,Honey,1,I,HH,0,Old,18,3,,,,,,,,
20190803,Honey,1,I,HH,0,Young,7,0,,,,,,,,
20190803,Honey,1,I,HH,1,Old,42,30,,,,,,,,
20190803,Honey,1,I,HH,1,Young,64,1,,,,,,,,
20190803,Honey,1,I,HH,2,Old,49,24,,,,,,,,
